,0
0,Colorado
1,Illinois
2,Indiana
3,Kansas
4,Louisiana
5,Maryland
6,Massachusetts
7,Minnesota
8,Missouri
9,New Hampshire
10,New Jersey
11,Ohio
12,Pennsylvania
13,Utah
14,Vermont
15,Washington
16,Wisconsin
